run_name,epoch,world_size,per_gpu_batch_size,global_batch_size,train_loss,test_loss,test_acc,epoch_time_sec,compute_time_sec,comm_time_sec,comm_fraction,throughput_samples_per_sec,lr,amp
resnet18_1gpu_bs128,1,1,128,128,2.2163,1.794458,0.3355,46.59411,41.369943,1.589517,0.034114,1073.097,0.09972609476841367,1
resnet18_1gpu_bs128,2,1,128,128,1.539833,1.536436,0.4721,19.565126,15.527105,1.47632,0.075457,2555.567,0.09890738003669028,1
resnet18_1gpu_bs128,3,1,128,128,1.19974,1.21669,0.5722,20.072966,15.962282,1.476902,0.073577,2490.912,0.09755282581475767,1
resnet18_1gpu_bs128,4,1,128,128,0.976219,0.988325,0.6532,20.67717,16.451103,1.469418,0.071065,2418.126,0.09567727288213003,1
resnet18_1gpu_bs128,5,1,128,128,0.835142,0.888824,0.7,21.286945,16.965001,1.472937,0.069194,2348.858,0.09330127018922194,1
resnet18_1gpu_bs128,6,1,128,128,0.729121,0.738284,0.7404,22.174917,17.680663,1.476023,0.066563,2254.8,0.09045084971874737,1
resnet18_1gpu_bs128,7,1,128,128,0.625959,0.735906,0.7562,21.977802,17.617435,1.491097,0.067846,2275.023,0.0871572412738697,1
resnet18_1gpu_bs128,8,1,128,128,0.558673,0.647901,0.7762,21.353271,17.085714,1.479827,0.069302,2341.562,0.0834565303179429,1
resnet18_1gpu_bs128,9,1,128,128,0.506867,0.729237,0.7598,21.538033,17.162385,1.480385,0.068734,2321.475,0.07938926261462365,1
resnet18_1gpu_bs128,10,1,128,128,0.474472,0.54858,0.813,21.831707,17.450006,1.477062,0.067657,2290.247,0.07499999999999998,1
resnet18_1gpu_bs128,11,1,128,128,0.43976,0.515156,0.8257,21.664598,17.328534,1.475293,0.068097,2307.913,0.07033683215379001,1
resnet18_1gpu_bs128,12,1,128,128,0.412374,0.584123,0.8067,21.54255,17.223869,1.477996,0.068608,2320.988,0.06545084971874737,1
resnet18_1gpu_bs128,13,1,128,128,0.380503,0.462201,0.8459,21.646625,17.29183,1.474492,0.068116,2309.829,0.06039558454088796,1
resnet18_1gpu_bs128,14,1,128,128,0.357192,0.452957,0.8446,21.706598,17.336465,1.475879,0.067992,2303.447,0.05522642316338268,1
resnet18_1gpu_bs128,15,1,128,128,0.333195,0.484106,0.8353,21.742169,17.367311,1.475191,0.067849,2299.679,0.05000000000000001,1
resnet18_1gpu_bs128,16,1,128,128,0.304995,0.427298,0.8573,21.731759,17.369073,1.47361,0.067809,2300.78,0.04477357683661733,1
resnet18_1gpu_bs128,17,1,128,128,0.284393,0.438926,0.8584,21.722912,17.339801,1.471123,0.067722,2301.717,0.03960441545911203,1
resnet18_1gpu_bs128,18,1,128,128,0.259408,0.404304,0.8655,21.719227,17.345329,1.48734,0.06848,2302.108,0.03454915028125263,1
resnet18_1gpu_bs128,19,1,128,128,0.230211,0.385819,0.8764,21.675639,17.320491,1.477951,0.068185,2306.737,0.02966316784621,1
resnet18_1gpu_bs128,20,1,128,128,0.208278,0.407873,0.8683,21.698633,17.347485,1.476203,0.068032,2304.293,0.025000000000000012,1
resnet18_1gpu_bs128,21,1,128,128,0.184495,0.302583,0.8979,21.698908,17.339553,1.469871,0.067739,2304.263,0.02061073738537635,1
resnet18_1gpu_bs128,22,1,128,128,0.154335,0.302931,0.9038,21.705705,17.315269,1.472935,0.067859,2303.542,0.016543469682057107,1
resnet18_1gpu_bs128,23,1,128,128,0.128166,0.319923,0.8978,21.70838,17.351105,1.470283,0.067729,2303.258,0.012842758726130301,1
resnet18_1gpu_bs128,24,1,128,128,0.099852,0.296695,0.9067,21.699289,17.337651,1.477137,0.068073,2304.223,0.009549150281252635,1
resnet18_1gpu_bs128,25,1,128,128,0.078561,0.26481,0.9161,21.636738,17.305014,1.473274,0.068091,2310.884,0.006698729810778067,1
resnet18_1gpu_bs128,26,1,128,128,0.060038,0.246472,0.9255,21.611779,17.246216,1.478289,0.068402,2313.553,0.004322727117869953,1
resnet18_1gpu_bs128,27,1,128,128,0.045952,0.239694,0.9261,21.646826,17.288645,1.472796,0.068037,2309.807,0.002447174185242324,1
resnet18_1gpu_bs128,28,1,128,128,0.034744,0.226282,0.9319,21.633557,17.282099,1.474185,0.068143,2311.224,0.0010926199633097158,1
resnet18_1gpu_bs128,29,1,128,128,0.0288,0.227191,0.9333,21.719873,17.348015,1.47083,0.067718,2302.039,0.00027390523158633,1
resnet18_1gpu_bs128,30,1,128,128,0.026133,0.225885,0.9317,21.727019,17.342113,1.481196,0.068173,2301.282,0.0,1
